Player Name	ADP
Shohei Ohtani	1
Aaron Judge	2
Bobby Witt Jr.	3
Juan Soto	4
Jose Ramirez	5
Tarik Skubal	6
Ronald Acuna	7
Elly De La Cruz	8
Corbin Carroll	9
Julio Rodriguez	10
Paul Skenes	11
Garrett Crochet	12
Kyle Tucker	13
Fernando Tatis Jr.	14
Gunnar Henderson	15
Junior Caminero	16
Cal Raleigh	17
Nick Kurtz	18
Jackson Chourio	19
Vladimir Guerrero Jr.	20
Kyle Schwarber	21
Francisco Lindor	22
Jazz Chisholm	23
Yoshinobu Yamamoto	24
Pete Alonso	25
Trea Turner	26
Pete Crow-Armstrong	27
Cristopher Sanchez	28
Ketel Marte	29
James Wood	30
Manny Machado	31
Yordan Alvarez	32
Hunter Brown	33
Matt Olson	34
Zach Neto	35
Rafael Devers	36
Logan Gilbert	37
Bryce Harper	38
Bryan Woo	39
Chris Sale	40
Roman Anthony	41
Hunter Greene	42
Mookie Betts	43
Brice Turang	44
Max Fried	45
Jacob deGrom	46
Brent Rooker	47
Wyatt Langford	48
Logan Webb	49
Cole Ragans	50
Freddie Freeman	51
Josh Naylor	52
Mason Miller	53
Edwin Diaz	54
Freddy Peralta	55
CJ Abrams	56
Geraldo Perdomo	57
Jackson Merrill	58
William Contreras	59
Andres Munoz	60
Jhoan Duran	61
Jarren Duran	62
Cody Bellinger	63
Austin Riley	64
Byron Buxton	65
Joe Ryan	66
Maikel Garcia	67
George Kirby	68
Riley Greene	69
Shea Langeliers	70
Vinnie Pasquantino	71
Ben Rice	72
Cade Smith	73
Dylan Cease	74
Randy Arozarena	75
Jesus Luzardo	76
Hunter Goodman	77
Corey Seager	78
Tyler Soderstrom	79
Bo Bichette	80
Framber Valdez	81
Eugenio Suarez	82
Kyle Bradish	83
Nico Hoerner	84
Seiya Suzuki	85
George Springer	86
Alex Bregman	87
Oneil Cruz	88
Christian Yelich	89
Blake Snell	90
Aroldis Chapman	91
Jeremy Pena	92
Nick Pivetta	93
Spencer Strider	94
Eury Perez	95
Trevor Story	96
Agustin Ramirez	97
David Bednar	98
Josh Hader	99
Michael Busch	100
Michael Harris	101
Jose Altuve	102
Will Smith	103
Drake Baldwin	104
Devin Williams	105
Salvador Perez	106
Nolan McLean	107
Kevin Gausman	108
Willy Adames	109
Kyle Stowers	110
Jacob Misiorowski	111
Tyler Glasnow	112
Brandon Woodruff	113
Jordan Westburg	114
Luke Keaschall	115
Luis Robert	116
Carlos Estevez	117
Raisel Iglesias	118
Teoscar Hernandez	119
Chase Burns	120
Yandy Diaz	121
Matt Chapman	122
Ryan Helsley	123
Sonny Gray	124
Lawrence Butler	125
Jo Adell	126
Andy Pages	127
Brandon Nimmo	128
Cam Schlittler	129
Dansby Swanson	130
Michael King	131
Nick Lodolo	132
Gavin Williams	133
Zack Wheeler	134
Pablo Lopez	135
Jeff Hoffman	136
Taylor Ward	137
Ceddanne Rafaela	138
